"%s; rev #%s","%s; rev #%s"
"Access Level","bereikbaarheidsniveau"
"Please select one or more hierarchies to delete","Selecteer een of meerdere hiërarchieën om te verwijderen"
"Please select revision(s).","Selecteer alstublieft de herziening(en)."
"Please select version(s).","Selecteer alstublieft de versie(s)."
"Please select website or store view.","Selecteer website of winkel view."
"Preview","Voorbeeld"
"Previous","Vorige"
"Private","Privé"
"Protected","Beschermd"
"Public","Openbare"
"Publish","Publiceren"
"Publish Revision","Publiceer Herziening"
"Published","Gepubliceerd"
"Published Revision Unavailable","Gepubliceerde Herziening Niet Beschikbaar"
"Remove From Tree","Verwijder van boom"
"Render Metadata in HTML Head","Geef Metadata weer in HTML Hoofd"
"Revision #","Herziening #"
"Revision #%s","Herziening #%s"
"Revision #%s could not be removed because it is published.","Herziening #%s kon niet verwijdert worden want hij is gepubliceerd."
"Revision Information","Herzienings Informatie"
"Revisions Qty","Herzienings Qty"
"Right Column","rechter kolom"
"Root","Wortel"
"Save","Sla op"
"Save Revision and Version","Sla modificatie en versie op"
"Save and Continue Edit","opslaan en doorgaan met bewerken"
"Save and Publish","Sla op en publiceer"
"Save as New Version","Sla op als nieuwe versie"
"Save in New Version...","Sla op in nieuwe versie..."
"Section","Gedeelte"
"Select Page or Node...","Selecteer pagina of node..."
"Show in Navigation Menu","Toon in Navigatiemenu"
"Single Hierarchy for All Store Views","Enkele Hiërarchie for Alle Store Views"
"Specific Hierarchy for Each Store View","Specifieke Hiërarchie voor elke Store View"
"Specify New Version Name (required)","Specificeer nieuwe versie naam (verplicht)"
"Square","Vierkant"
"Template","Template"
"The hierarchy has been saved.","De hiërarchie is opgeslagen"
"The new version has been created.","De nieuwe versie is gecreëerd"
"The revision has been deleted.","De modificatie is verwijderd"
"The revision has been published.","De modificatie is gepubliceerd"
"The revision has been saved.","De modificatie is opgeslagen"
"The version has been deleted.","De versie is verwijderd"
"The version has been saved.","De versie is opgeslagen"
"There are unsaved node data. Are you sure you want to proceed?","Er is niet-opgeslagen data. Weet u zeker dat u door wilt gaan?"
"There has been an error copying hierarchy.","Er is een fout opgetreden bij het kopiëren van de hiërarchie."
"There has been an error deleting hierarchy.","Er is een fout opgetreden bij het verwijderen van de hiërarchie."
"There has been an error saving hierarchy.","Er is een fout opgetreden bij het opslaan van de hiërarchie."
"This Page Belongs To","Deze pagina behoort toe aan"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Deze pagina kan niet worden toegevoegd, omdat een pagina met dezelfde URL sleutel reeds bestaat"
"Title","Titel"
"Total of %d record(s) have been deleted","Een totaal van %d rapport(en) is verwijderd"
"Total of %d record(s) have been deleted.","Het totaal aan ... records is weggehaald."
"Tree Viewed","Boom gezien"
"URL Key","URL sleutel"
"Unable to find a revision to delete.","Niet mogelijk om een modificatie te verwijderen"
"Unable to find a version to delete.","Niet mogelijk om een versie te verwijderen"
"Under Version Control","Onder versiecontrole"
"Unordered","Niet besteld"
"Update","Ververs"
"Upper Alpha (A, B, C, ...)","Hoofdletters (A, B, C...)"
"Upper Roman (I, II, III, ...)","Romeinse cijfers (I,II, III, ...)"
"Use Parent","Gebruik ouder"
"Use Parent Node\'s Hierarchy","Gebruik bovenliggende node hiërarchie"
"Use default","Gebruik standaard"
"Version ""%s"" could not be removed because it is the last public version for its page.","Versie ""%s"" kan niet verwijderd worden omdat, het de laatste publieke versie is voor zijn pagina."
"Version ""%s"" could not be removed because its revision has been published.","Versie ""%s"" kan niet verwijderd worden omdat, de revisie gepubliceerd is."
"Version #","Versie #"
"Version Control","Versiecontrole"
"Version Information","Versie infomatie"
"Version Label","Versie label"
"Version Revisions","Versie modificatie"
"Version:","Versie:"
"Versions","Versies"
"Website Root","Website wortel"
"Yes","Ja"
"You should specify valid name","U moet een juiste naam specificeren"
"[No Owner]","[Geen eigenaar]"
