"Unknown operator specified.","Opgegeven operator onbekend."
"Unknown quote total specified.","Opgegeven totaal prijsopgave onbekend"
"Up To Date","Actueel"
"Use in Customer Segment","In Klanten Segment Gebruiken"
"View Combined Report","Gecombineerd Rapport Inzien"
"Viewing combined ""%s"" report from segments: %s","Gecombineerd ""%s"" rapport van segmenten %s aan het bekijken"
"Viewing combined ""%s"" report from segments: %s.","Bekijk gecombineerde ""%s"" rapport van segmenten: %s"
"Visitors","Bezoekers"
"Visitors and Registered Customers","Bezoekers en Geregistreerde Klanten"
"Website","Website"
"Wishlist","Verlanglijst"
"Wrong ""ApplyTo"" type","Verkeerd ""ToepassenOp"" type"
"Wrong customer segment requested.","Verkeerd klanten segment opgevraagd."
"ZIP","Postcode"
"does not exist","bestaat niet"
"does not have","bevat geen"
"does not match","komt niet overeen"
"exists","bestaat"
"has","heeft (in andere context: bevat)"
"is not one of","behoort niet tot"
"is one of","behoort tot"
"matches","komt overeen"
"not subscribed","niet geabonneerd"
"ordered","bestels"
"subscribed","geabonneerd"
"viewed","bekeken"
