"%s product requires your attention.","%s Produkt benötigt Ihre Aufmerksamkeit."
"%s product was added to your shopping cart.","%s Produkt wurde zu Ihrem Einkaufswagen hinzugefügt."
"%s products require your attention.","%s Produkte benötigen Ihre Aufmerksamkeit."
"%s products were added to your shopping cart.","%s Produkte wurden zu Ihrem Einkaufswagen hinzugefügt."
"%s was added to your shopping cart.","%s wurde zu Ihrem Einkaufswagen hinzugefügt."
"* Required Fields","* Notwendige Felder"
"Card Verification Number Visual Reference","Kartenprüfnummer Visueller Hinweis"
"Cart Subtotal:","Warenkorb Zwischensumme:"
"Change","Ändern"
"Change Billing Address","Rechnungsadresse ändern"
"Checkout","Checkout"
"Checkout as Guest","Checkout als Gast"
"Checkout as a Guest","Als Gast weiter zur Kasse gehen"
"Checkout as a Guest or Register","Checkout als Gast oder registrieren"
"Choose some products to add to shopping cart.","Wählen Sie einige Produkte, um diese dem Warenkorb hinzuzufügen."
"City","Stadt"
"Clear Shopping Cart","Einkaufswagen leeren"
"Close","Schließen"
"Company","Firma"
"Configure","Konfigurieren"
"Configure Cart Item","Artikel im Korb konfigurieren"
"Confirm Password","Passwort bestätigen"
"Continue","Fortsetzen"
"Continue Shopping","Einkauf fortfahren"
"Continue to Billing Information","Weiter zur Rechnungsinformation"
"Continue to Review Your Order","Weiter zur Bestellungsüberprüfung"
"Continue to Shipping Information","Weiter zur Versandinformation"
"Country","Land"
"Coupon code ""%s"" is not valid","Couponcode ""%s"" ist ungültig"
"Customer Groups","Kundengruppen"
"Customer not found","Kunde nicht gefunden"
"Customers","Kunden"
"Default Billing","Standard Rechnung"
"Default Shipping","Standard Versand"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definiert, ob ein Link auf die Seite Mein Konto &gt; Bestellung über SKU auf dem Widget angezeigt wird"
"Disabled products cannot be added.","Deaktivierte Produkte können nicht hinzugefügt werden."
"Discount","Ermäßigung"
"Discount Codes","Rabattcodes"
"Display a Link to Loading a Spreadsheet","Link anzeigen zu Tabelle laden"
"Easy access to your order history and status","Schneller Zugriff auf Ihre Bestellungshistorie und Status"
"Edit","Bearbeiten"
"Edit Address","Adresse bearbeiten"
"Edit Items","Artikel bearbeiten"
"Edit item","Artikel ändern"
"Email Address","E-Mail-Adresse"
"Empty Shopping Cart Content Before","Warenkorb-Inhalt leeren bevor"
"Enable Order by SKU on My Account in Frontend","Bestellung über SKU in Mein Konto im Frontend aktivieren"
"Enter a New Address","Neue Adresse eingeben"
"Enter your coupon code if you have one.","Geben Sie Ihren Coupon Code ein, falls Sie einen haben."
"Enter your destination to get a shipping estimate.","Geben Sie Ihren Standort an, um die geschätzten Versandkosten/dauer zu ermitteln."
"Estimate Shipping and Tax","Geschätzte Versandkosten und Steuern"
"Excl. Tax","Exkl. Steuer"
"Failed to add a product of order item","Produkt konnte nicht zur Auftragsposition hinzugefügt werden"
"Failed to reorder item","Produkt konnte nicht wieder bestellt werden"
"Fast and easy check out","Schnell und einfaches Checkout"
"Fax","Fax"
"File","Datei"
"File cannot be uploaded.","Die Datei kann nicht hochgeladen werden."
"File extensions allowed: .csv","Erlaubte Dateierweiterungen: .csv"
"File is corrupt.","Die Datei ist fehlerbehaftet."
"File is empty.","Die Datei ist leer."
"File must contain two columns, with ""sku"" and ""qty"" in the header row.","Datei muss zwei Spalten mit ""sku"" und ""Menge"" in der Kopfzeile enthalten."
"Forgot your password?","Sie haben Ihr Passwort vergessen?"
"Get a Quote","Eine Preisangabe bekommen"
"Get notified when back in stock","Über Verfügbarkeit benachrichtigen lassen"
"Go to Shopping Cart","Zum Einkaufswagen"
"Grand Total:","Gesamtbetrag:"
"ID","ID"
"Incl. Tax","Inkl. Steuer"
"Invalid block: %s.","Ungültiger Block: %s."
"Item was successfully removed.","Der Artikel wurde erfolgreich entfernt."
"Items","Artikel"
"Items After","Artikel danach"
"Items Before","Artikel davor"
"Items were successfully removed.","Die Artikel wurden erfolgreich gelöscht."
"Last ordered items (%s)","Zuletzt bestellte Artikel (%s)"
"Link Text","Link-Text"
"Load a list of SKUs","Liste der SKUs laden"
"Loading next step...","Nächster Schritt wird geladen ..."
"Login","Einloggen"
"Login/Registration Before","Anmeldung/ Registrierung davor"
"Manage Customers","Kunden verwalten"
"Manage Shopping Cart","Warenkorb verwalten"
"Move to Wishlist","In Wunschliste verschieben"
"Multishipping Checkout","Mehrfachlieferung Kasse"
"Multishipping Checkout Address (Any) Form","Mehrfachlieferung Kasse Adresse (Beliebiges) Formular"
"Multishipping Checkout Billing Address Creation","Mehrfachlieferung Kasse Rechnungsadresse Erstellung"
"Multishipping Checkout Billing Address Edit Form","Mehrfachlieferung Kasse Rechnungsadresse Formular bearbeiten"
"Multishipping Checkout Billing Address Selection","Mehrfachlieferung Kasse Rechnungsadresse Auswahl"
"Multishipping Checkout Billing Information Step","Mehrfachlieferung Kasse Rechnungsinformation Schritt"
"Multishipping Checkout Customer Address Edit Form","Mehrfachlieferung Kasse Kundenadresse Formular bearbeiten"
"Multishipping Checkout Overview","Mehrfachlieferung Kasse Übesicht"
"Multishipping Checkout Shipping Address Creation","Mehrfachlieferung Kasse Rechnungsadresse Erstellung"
"Multishipping Checkout Shipping Address Edit Form","Mehrfachlieferung Kasse Lieferadresse Formular bearbeiten"
"Multishipping Checkout Shipping Address Selection","Mehrfachlieferung Kasse Lieferadresse Auswahl"
"Multishipping Checkout Shipping Information Step","Mehrfachlieferung Kasse Lieferinformation Schritt"
"Multishipping Checkout Success","Mehrfachlieferung Kasse Erfolg"
"My Cart (%s)","Mein Warenkorb (%s)"
"No","Nein"
"No ordered items","Keine bestellten Artikel"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","GESAMTSUMME WIRD VOR ABSENDEN DER BESTELLUNG ANGEZEIGT"
"One Page Checkout","Eine Seite Kasse"
"One Page Checkout Failure","Eine Seite Fehler bei Kassenausgang"
"One Page Checkout Overview","Checkout-Übersicht auf einer Seite"
"One Page Checkout Success","Eine Seite Erfolg bei Kassenausgang"
"Only %s%g%s left in stock","Nur noch %s%g%s im Lager vorhanden"
"Only .csv file format is supported.","Es wird nur das .csv-Dateiformat unterstützt."
"Only <span id=""%s_max_allowed"">%s</span> in stock","Nur <span id=""%s_max_allowed"">%s</span> vorrätig"
"Options Details","Optionen Details"
"Order by SKU","Bestellung über SKU"
"Order by SKU Description","Bestellung über SKU-Beschreibung"
"Order by SKU Settings","Bestellung über SKU-Einstellungen"
"Order by SKU Template","Bestellung über SKU-Vorlage"
"Ordered item id is not received.","Die bestellte Artikelnummer wurde nicht empfangen."
"Ordered item is not loaded.","Der bestellte Artikel wird nicht geladen."
"Other items in your order","Andere Artikel in Ihrer Bestellung"
"Overview Items After","Überblick Artikel danach"
"Password","Passwort"
"Payment Method","Zahlungsart"
"Payment Methods After","Zahlungsarten nach"
"Payment Methods After Checkout Button","Zahlungsmethoden nach Schaltfläche Kasse"
"Payment Methods Before","Zahlungsarten vor"
"Payment Methods Before Checkout Button","Zahlungsarten vor Schalter Kasse"
"Place Order","Bestellung aufgeben"
"Please agree to all Terms and Conditions before placing the orders.","Bitte stimmen Sie allen Geschäftsbedingungen vor Erteilung der Aufträge zu."
"Please enter a valid number in the ""Qty"" field.","Bitte geben Sie eine gültige Zahl im ""Qty""-Feld an."
"Please log in below:","Bitte loggen Sie sich unten ein:"
"Please select region, state or province","Bitte Region, Staat oder Provinz auswählen"
"Please select shipping address for applicable items","Bitte wählen Sie die Versandadresse für zutreffende Positionen aus"
"Please specify the product\'s options.","Bitte geben Sie die Produktoptionen an."
"Price","Preis"
"Product","Produkt"
"Product Name","Produktname"
"Product name","Produktbezeichnung"
"Products","Produkte"
"Products Requiring Attention","Produkte, die Aufmerksamkeit erfordern"
"Products in the Comparison List (%s)","Produkte in der Vergleichsliste (%s)"
"Qty","Menge"
"Qty To Add","Menge zum Hinzufügen"
"Quote item id is not received.","Die angegebene Artikelnummer wurde nicht empfangen."
"Quote item is not loaded.","Der bestellte Artikel wird nicht geladen."
"Recently Compared Products (%s)","Kürzlich verglichene Produkte (%s)"
"Recently Viewed Products (%s)","Kürzlich angesehene Produkte (%s)"
"Recently added item(s)","Kürzlich hinzugefügte Position(en)"
"Register","Registrieren"
"Register and save time!","Melden Sie sich an und sparen Sie Zeit!"
"Register to Create an Account","Registrieren, um ein Konto zu erstellen"
"Register with us for future convenience:","Melden Sie sich bei uns an für zukünftigen Komfort:"
"Remove","Entfernen"
"Remove All","Alle entfernen"
"Remove Coupon Code","Gutschein-Code entfernen"
"Remove Item","Objekt entfernen"
"Remove Row","Zeile entfernen"
"Remove item","Artikel löschen"
"Requested quantity is not available.","Die angefragte Menge ist nicht verfügbar."
"Reset","Zurücksetzen"
"Review Order","Auftrag überprüfen"
"Row Subtotal","Zeile Zwischensumme"
"SKU","SKU"
"SKU not found in catalog.","SKU nicht im Katalog gefunden."
"SKU: ","SKU:"
"Save in address book","Speichern im Adressbuch"
"See price before order confirmation.","Preis vor Bestellbestätigung ansehen."
"Select Address","Adresse auswählen"
"Select Shipping Method","Versandmethode auswählen"
"Select State/Province...","Land/Provinz auswählen"
"Select a billing address from your address book or enter a new address.","Wählen Sie eine Rechnungsadresse aus ihrem Adressbuch oder geben Sie eine neue Adresse ein."
"Select a shipping address from your address book or enter a new address.","Wählen Sie eine Versandadresse aus ihrem Adressbuch oder geben sie eine neue Adresse ein."
"Send To","Senden an"
"Ship to Multiple Addresses","An mehrere Adressen senden"
"Ship to different address","Versand an andere Adresse"
"Ship to this address","Versand an diese Adresse"
"Shipping Information","Lieferungsinformation"
"Shipping Method","Lieferungsart"
"Shipping To","Versendet an"
"Shipping selection is not applicable","Die Versandauswahl ist nicht anwendbar."
"Shopping Cart","Warenkorb"
"Shopping Cart Items","Artikel im Warenkorb"
"Shopping Cart Items After","Produkte im Warenkorb nach"
"Shopping Cart Items Before","Artikel im Warenkorb vor"
"Shopping Cart Management","Warenkorb Management"
"Shopping Cart for %s in %s","Warenkorb für %s in %s"
"Shopping cart management disabled for this customer.","Warenkorbmanagement für diesen Kunden deaktiviert."
"Sorry, no quotes are available for this order at this time.","Es tut uns Leid, es gibt derzeit keine Preisangabe für diese Bestellung."
"Specify the product\'s options","Geben Sie die Produktoptionen an"
"State/Province","Staat/Provinz"
"Store not found.","Filiale nicht gefunden."
"Street Address","Adresse"
"Street Address %s","Hausanschrift %s"
"Submitting order information...","Bestellung wird versandt..."
"Subtotal","Zwischensumme"
"Subtotal:","Zwischensumme:"
"Telephone","Telefon"
"The product cannot be added to cart in requested quantity.","Dieses Produkt kann mit der gewünschten Menge nicht zum Einkaufswagen hinzugefügt werden."
"The product cannot be added to cart.","Das Produkt kann nicht zum Einkaufswagen hinzugefügt werden."
"The product is assigned to another website.","Das Produkt ist einer anderen Website zugewiesen."
"The text of the link to the My Account &gt; Order by SKU page","Der Text des Links zur Seite Mein Konto &gt; Bestellung über SKU"
"Total","Summe"
"Total %d product(s)","Summe %d Produkt€"
"Total incl. tax","Summe inkl. Steuer"
"Unit Price","Einheitspreis"
"Update Items and Qty\'s","Artikel und Mengen aktualisieren"
"Update Qty &amp; Addresses","Anzahl &amp; Adressen aktualisieren"
"Update Shopping Cart","Einkaufswagen aktualisieren"
"Update Total","Gesamtsumme aktualisieren"
"Use Billing Address","Rechnungsadresse verwenden"
"VAT Number","MwSt.-Nummer"
"View Details","Details anzeigen"
"View Shopping Cart","Warenkorb anzeigen"
"View and modify Shopping Cart","Warenkorb anzeigen und bearbeiten"
"Wishlist (%s)","Wunschliste (%s)"
"Wishlist item id is not received.","Die Artikelnummer des Artikels auf der Wunschliste wurde nicht empfangen."
"Wishlist item is not loaded.","Der Artikel auf der Wunschliste wird nicht geladen."
"Yes, for Everyone","Ja, für alle"
"Yes, for Specified Customer Groups","Ja, für Bestimmte Kundengruppen"
"You have %d item(s) requiring attention.","Sie haben %d Artikel, die Ihre Aufmerksamkeit benötigen."
"You have no items in your shopping cart.","Sie haben keine Artikel in Ihrem Einkaufswagen."
"You have not entered any product sku.","Sie haben noch keine Produkt-SKU angegeben."
"You have not entered any product sku. Please <a href=""%s"">click here</a> to add product(s) by sku.","Sie haben noch keine Produkt-SKU angegeben. Bitte <a href=""%s"">klicken Sie hier</a>, um Produkte über die SKU hinzuzufügen."
"Zip/Postal Code","Postleitzahl"
