"-- Not Selected --","-- Not Selected --"
"Rule label and descriptions are accessible in email templates as variables, may be defined per store view.","Regel-Kennsatz und Beschreibungen sind in E-Mail-Vorlagen in Form von Variablen zugreifbar, können pro Store-View definiert werden."
"Rule will work only if at least one condition is specified.","Regel funktioniert nur wenn mindestens eine Bedingung angegeben ist."
"Run Now","Jetzt Starten"
"SKU","Artikelnummer"
"Save and Continue Edit","Speichern und Ändern fortführen"
"Set this value not less than your cron.php launch period.","Diesen Wert nicht kürzer als Ihre cron.php Startphase einstellen."
"Sharing","Zugriff"
"Shopping Cart","Einkaufswagen"
"Shopping Cart Price Rule","Regel für Einkaufswagen-Preis"
"Shopping cart %s a coupon applied","Warenkorb %s Gutschein verwendet"
"Shopping cart %s amount %s %s:","Warenkorb %s Summe %s %s:"
"Shopping cart %s only virtual items","Warenkorb %s nur virtuelle Artikel"
"Shopping cart is not empty and abandoned %s %s days and %s of these conditions match:","Warenkorb ist nicht leer und wurde verlassen %s %s Tage und %s dieser Bedingungen treffen zu:"
"Start Time","Startzeit"
"Status","Status"
"Store View","Store-View"
"The reminder rule has been deleted.","Die Erinnerungs-Regel wurde gelöscht."
"The reminder rule has been matched.","Die Erinnerungs-Regel wurde gefunden."
"The reminder rule has been saved.","Die Erinnerungs-Regel wurde gespeichert."
"This rule is assigned to %s automated reminder rule(s). Deleting this rule will automatically unassign it.","Diese Regel ist der (den) %s automatisierten Erinnerungs-Regel(n) zugewiesen. Durch das Löschen dieser Regel wir die Zuweisung automatisch aufgehoben."
"Thread Active","Teilprozess aktiv"
"Titles and Descriptions Per Store View","Titel und Beschreibungen Pro Store-View"
"To Date","Zum Datum"
"Total Amount","Gesamtbetrag"
"Total shopping cart items quantity %s %s:","Summe Warenkorb Artikelanzahl %s %s:"
"Unknown attribute specified","Unbekannte Eigenschaft angegeben"
"Unknown operator specified.","Unbekannter Anwender angegeben."
"Unknown quote total specified","Unbekannte Angebotssumme angegeben"
"Up to %s customers may receive reminder email after this action.","Bis zu %s Kunden können nach dieser Aktion Erinnerungs-E-Mails erhalten."
"Valid range: 0-59 (default 0).","Gültiger Bereich; 0-59 (Standard 0)."
"Virtual Only","Nur Virtuell"
"Website","Webseite"
"Wishlist","Wunschzettel"
"Wishlist %s shared","Wunschzettel %s geteilt"
"Wishlist is not empty and abandoned %s %s days and %s of these conditions match:","Wunschzettel ist nicht leer und wurde verlassen %s %s Tage und %s dieser Bedingungen treffen zu:"
"Wrong reminder rule requested.","Falsche Erinnerungs-Regel aufgerufen."
"Yes","Ja"
"base cost","Grundkosten"
"base price","Grundpreis"
"does not have","hat nicht"
"found","gefunden"
"grand total","Endsumme"
"has","hat"
"is","ist"
"is not","ist nicht"
"not found","nicht gefunden"
"quantity","Menge"
"row weight","Zeilengewicht"
"subtotal","Zwischensumme"
"weight","Gewicht"
