"%s product requires your attention.","el producto %s requiere su atención."
"%s product was added to your shopping cart.","el producto %s se ha añadido a tu carro de la compra."
"%s products require your attention.","los productos %s requieren su atención."
"%s products were added to your shopping cart.","los productos %s se han añadido a su carro de la compra."
"%s was added to your shopping cart.","%s se ha añadido a su carro de la compra."
"* Required Fields","* Campos Requeridos"
"Remove Row","Eliminar Línea"
"Remove item","Eliminar artículo"
"Requested quantity is not available.","La cantidad solicitada no está disponible."
"Reset","Reiniciar"
"Review Order","Revise su pedido"
"Row Subtotal","Fila Subtotal"
"SKU","Número de referencia"
"SKU not found in catalog.","No se ha encontrado el SKU en el catálogo."
"SKU: ","SKU:"
"Save in address book","Guardar en libreta de direcciones"
"See price before order confirmation.","Ver precio antes de la confirmación del pedido."
"Select Address","Seleccionar dirección"
"Select Shipping Method","Seleccionar método de envío"
"Select State/Province...","Seleccionar estado/provincia..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o ingrese una nueva."
"Select a shipping address from your address book or enter a new address.","Seleccione una dirección de envío desde su libreta de direcciones o introduzca una nueva dirección."
"Send To","Enviar a"
"Ship to Multiple Addresses","Enviar a varias direcciones"
"Ship to different address","Enviar a distintas direcciones"
"Ship to this address","Enviar a esta dirección"
"Shipping Information","Dirección de envío"
"Shipping Method","Método de envío"
"Shipping To","Envío a"
"Shipping selection is not applicable","La selección de envío no es aplicable"
"Shopping Cart","Cesta de la Compra"
"Shopping Cart Items","Elementos del Carro de la Compra"
"Shopping Cart Items After","Artículos del carro de la compra después"
"Shopping Cart Items Before","Artículos del carro de compra antes"
"Shopping Cart Management","Gestión de la Cesta de la Compra"
"Shopping Cart for %s in %s","Cesta de la Compra para %s en %s"
"Shopping cart management disabled for this customer.","La gestión de la Cesta de la Compra para este cliente está desactivada."
"Sorry, no quotes are available for this order at this time.","Lamentamos informarle que en este momento no hay cotizaciones disponibles para este pedido."
"Specify the product\'s options","Especificar las opciones de producto"
"State/Province","Estado/Provincia"
"Store not found.","Tienda no encontrada."
"Street Address","Calle"
"Street Address %s","Calle %s"
"Submitting order information...","Enviando información del pedido..."
"Subtotal","Subtotal"
"Subtotal:","Subtotal:"
"Telephone","Teléfono"
"The product cannot be added to cart in requested quantity.","El producto no se puede añadir al carro en la cantidad solicitada."
"The product cannot be added to cart.","El producto no se puede añadir al carro."
"The product is assigned to another website.","El producto está asignado a otro sitio web."
"The text of the link to the My Account &gt; Order by SKU page","El texto del vínculo a My Account &gt; Pedido por la página SKU"
"Total","Total"
"Total %d product(s)","%d producto(s) en total"
"Total incl. tax","Total con impuestos incluidos"
"Unit Price","Precio por unidad"
"Update Items and Qty\'s","Actualizar artículos y cantidades"
"Update Qty &amp; Addresses","Actualizar cantidad y direcciones"
"Update Shopping Cart","Actualizar carrito de compras"
"Update Total","Actualizar total"
"Use Billing Address","Utilizar dirección de facturación"
"VAT Number","Número de IVA"
"View Details","Ver detalles"
"View Shopping Cart","Ver la Cesta de la Compra"
"View and modify Shopping Cart","Ver y modificar la Cesta de la Compra"
"Wishlist (%s)","Lista de deseos (%s)"
"Wishlist item id is not received.","El artículo de la lista de intención de compra no se ha recibido."
"Wishlist item is not loaded.","El artículo de la lista de intención de compra no está cargado."
"Yes, for Everyone","Si, para todos"
"Yes, for Specified Customer Groups","Si, para grupos de clientes específicos"
"You have %d item(s) requiring attention.","Tiene %d artículo(s) que requiere(n) su atención."
"You have no items in your shopping cart.","No tiene artículos en su carrito de compras."
"You have not entered any product sku.","No ha introducido ningún sku de producto."
"You have not entered any product sku. Please <a href=""%s"">click here</a> to add product(s) by sku.","No ha introducido ningún sku de producto. Por favor, <a href=""%s"">pulse aquí</a> para añadir productos por sku."
"Zip/Postal Code","Código Postal"
