"%s; rev #%s","%s; rev #%s"
"Access Level","Nivel de acceso"
"How many Links to display at once","Cuántos Enlaces se deben mostrar a la vez"
"If empty, will use the Node or Page Name","En caso de estar vacío, se utilizará el Nodo o Nombre de la Página"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Si la Posición Actual del Marco no cubre las Páginas al Máximo, se le generará un Enlace a la Posición Actual más/menos este Valor."
"Invalid Scope.","Ámbito no válido."
"Invalid node data.","Datos de nodo inválidos."
"Label for version is a required field.","Etiqueta para versión es un campo obligatorio."
"Left Column","Columna izquierda"
"Link to Specified CMS Hierarchy Node","Enlace a Nodo Jerárquico CMS Especificado"
"List Style","Estilo de Lista"
"List Type","Tipo de Lista"
"Lower Alpha (a, b, c, ...)","Alfabeto en Minúsculas (a, b, c, ...)"
"Lower Roman (i, ii, iii, ...)","Números Romanos en Minúsculas (i, ii, iii, ...)"
"Main Navigation Menu Options","Opciones del menú principal de navegación"
"Manage Content","Administre Contenido"
"Manage Hierarchies","Administrar las jerarquías"
"Manage Hierarchy","Administre Jerarquía"
"Manage Pages Hierarchy","Administre Jerarquía de Páginas"
"Maximal Depth","Profundidad Máxima"
"Menu Detalization","Detalización del Menú"
"Menu Layout","Diseño de Menú"
"N/A","N/A"
"Neighbours and Children","Vecinos e Hijos"
"New Page","Nueva Página"
"New Revision","Nueva Revisión"
"New Revision...","Nueva Revisión..."
"Next","Siguiente"
"Next/Previous","Siguiente/Anterior"
"No","No"
"No Nodes available","No hay Nodos disponibles"
"No preview available","Vista previa no disponible"
"Node","Nodo"
"Node Levels to Include","Niveles de Nodo a Incluir"
"Node Properties","Propiedades de Nodo"
"Node with same URL Key already exists.","Ya existe un nodo con la misma Clave URL."
"Not Selected","No seleccionado"
"Numbers (1, 2, 3, ...)","Números (1, 2, 3, ...)"
"Only Children","Hijos Únicos"
"Ordered","Pedido"
"Owner","Propietario"
"Page ID","ID de la Página"
"Page Navigation Menu Options","Opciones del menú por páginas de navegación"
"Page Properties","Propiedades de Página"
"Page lock expires in 60 seconds. Save changes to avoid possible data loss.","El bloqueo de la página caduca en 60 segundos. Guarde los cambios para evitar posibles pérdidas de datos."
"Page:","Página:"
"Pages","Páginas"
"Pages Hierarchy","Jerarquía de Páginas"
"Pages hierarchy has been copied to the selected scopes.","La jerarquía de las páginas han sido copiadas a los ámbitos seleccionados."
"Pages hierarchy has been deleted from the selected scopes.","La jerarquía de las páginas ha sido eliminada de los ámbitos seleccionados."
"Pagination Options for Nested Pages","Opciones de Paginación para Páginas Anidadas"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Por favor, confirme el cambio de sitio. Toda la información que no haya sido guardada se perderá."
"Please select one or more destinations to copy the current hierarchy to","Por favor, seleccione uno o más destinos a copiar en la jerarquía actual de"
"Please select one or more hierarchies to delete","Por favor, seleccione una o más jerarquías para eliminar"
"Please select revision(s).","Por favor, seleccione revision(es)."
"Please select version(s).","Por favor, seleccione version(es)."
"Please select website or store view.","Por favor, seleccione sitio web o tienda a visitar."
"Preview","Vista Previa"
"Previous","Anterior"
"Private","Privado"
"Protected","Protegido"
"Public","Público"
"Publish","Publique"
"Publish Revision","Publique la Revisión"
"Published","Publicado"
"Published Revision Unavailable","Revisión Publicada No Disponible"
"Remove From Tree","Elimine Del Árbol"
"Render Metadata in HTML Head","Genere Metadata en el Encabezado HTML"
"Revision #","Revisión #"
"Revision #%s","Revisión #%s"
"Revision #%s could not be removed because it is published.","La Revisión #%s no pudo ser eliminada porque ya fue publicada."
"Revision Information","Revise Información"
"Revisions Qty","Revisiones de Cantidad"
"Right Column","Columna derecha"
"Root","Raíz"
"Save","Guardar"
"Save Revision and Version","Guardar modificación y versión"
"Save and Continue Edit","Guardar y continuar editando"
"Save and Publish","Guardar y publicar"
"Save as New Version","Guardar como nueva versión"
"Save in New Version...","Guardar en una nueva versión..."
"Section","Parte"
"Select Page or Node...","Seleccionar página o nodo..."
"Show in Navigation Menu","Mostrar en menú de navegación"
"Single Hierarchy for All Store Views","Jerarquía simple para todas las vistas de la tienda"
"Specific Hierarchy for Each Store View","Jerarquía específica para cada vista de la tienda"
"Specify New Version Name (required)","Especificar nuevo nombre de versión (requerido)"
"Square","Casilla"
"Template","Plantilla"
"The hierarchy has been saved.","La jerarquía se ha guardado."
"The new version has been created.","La nueva versión se ha creado."
"The revision has been deleted.","La modificación se ha eliminado."
"The revision has been published.","La modificación se ha publicado."
"The revision has been saved.","La modificación se ha guardado."
"The version has been deleted.","La versión se ha eliminado."
"The version has been saved.","La versión se ha guardado."
"There are unsaved node data. Are you sure you want to proceed?","Hay datos del nodo que no se han guardado. ¿Está seguro de que quiere continuar?"
"There has been an error copying hierarchy.","Ha habido un error al copiar la jerarquía."
"There has been an error deleting hierarchy.","Ha habido un error al eliminar la jerarquía."
"There has been an error saving hierarchy.","Ha habido un error al guardar la jerarquía."
"This Page Belongs To","Esta página pertenece a"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Esta página no puede ser añadida, porque un nodo o una página con la misma clave URL ya existe en esta parte del árbol."
"Title","Título"
"Total of %d record(s) have been deleted","El total de logros %d se ha borrado"
"Total of %d record(s) have been deleted.","Total de % registrado se ha eliminado."
"Tree Viewed","Árbol ya visto"
"URL Key","Clave URL"
"Unable to find a revision to delete.","No es posible encontrar una modificación que borrar."
"Unable to find a version to delete.","No es posible encontrar una versión que borrar."
"Under Version Control","Bajo control de versión"
"Unordered","Sin ordenar"
"Update","Actualización"
"Upper Alpha (A, B, C, ...)","Alphas superiores (A,B,C...)"
"Upper Roman (I, II, III, ...)","Romanos superiores (I, II, III...)"
"Use Parent","Uso parental"
"Use Parent Node\'s Hierarchy","Utilizar la jerarquía del nodo padre"
"Use default","Uso por defecto"
"Version ""%s"" could not be removed because it is the last public version for its page.","La versión ""%s"" no puede eliminarse porque es la última versión pública de esta página."
"Version ""%s"" could not be removed because its revision has been published.","La versión ""%s"" no puede eliminarse porque su revisión ha sido publicada."
"Version #","Versión#"
"Version Control","Control de la versión"
"Version Information","Información de la versión"
"Version Label","Etiqueta de la versión"
"Version Revisions","Modificaciones de la versión"
"Version:","Versión:"
"Versions","Versiones"
"Website Root","Raíz de la página web"
"Yes","Sí"
"You should specify valid name","Debería especificar un nombre válido"
"[No Owner]","[Sin poseedor]"
