"%s product requires your attention.","Produto %s requer a sua atenção."
"%s product was added to your shopping cart.","Produto %s foi adicionado ao seu carrinho de compras."
"%s products require your attention.","Produtos %s requerem a sua atenção."
"%s products were added to your shopping cart.","Produtos %s foram adicionados ao seu carrinho de compras"
"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho de compras."
"* Required Fields","* Campos obrigatórios"
"Update Items and Qty\'s","Atualizar Itens e Quantidades"
"Update Qty &amp; Addresses","Atualização de Quantidade e Endereços"
"Update Shopping Cart","Atualização do Carrinho de Compras"
"Update Total","Atualizar Total"
"Use Billing Address","Use Endereço de Cobrança"
"VAT Number","Número VAT"
"View Details","Visualizar Detalhes"
"View Shopping Cart","Visualizar carrinho de compras"
"View and modify Shopping Cart","Visualizar e modificar carrinho de compras"
"Wishlist (%s)","Lista de presentes (%s)"
"Wishlist item id is not received.","Identidade do item da lista de presentes não foi recebida."
"Wishlist item is not loaded.","O item da lista de presentes não foi carregado."
"Yes, for Everyone","Sim, para todos"
"Yes, for Specified Customer Groups","Sim, para Grupos de cliente específicos"
"You have %d item(s) requiring attention.","Você tem %d item(s) requerendo atenção."
"You have no items in your shopping cart.","Você não possui itens no carrinho de compras."
"You have not entered any product sku.","Você não inseriu nenhum sku de produto."
"You have not entered any product sku. Please <a href=""%s"">click here</a> to add product(s) by sku.","Você não inseriu nenhum sku de produto. Por favor <a href=""%s"">cliqie aqui</a> para adicionar produto(s) por sku."
"Zip/Postal Code","Zip/Código Postal"
