"%s; rev #%s","%s; rev #%s"
"Access Level","Nível de acesso"
"Single Hierarchy for All Store Views","Hierarquia única para todas as visualizações da loja"
"Specific Hierarchy for Each Store View","Hierarquia específica para cada visualização da loja"
"Specify New Version Name (required)","Especificar o nome da nova versão (obrigatório)"
"Square","Quadrado"
"Template","Modelo"
"The hierarchy has been saved.","A hierarquia foi salva."
"The new version has been created.","A nova versão foi criada."
"The revision has been deleted.","A revisão foi excluída."
"The revision has been published.","A revisão foi publicada."
"The revision has been saved.","A revisão foi salva."
"The version has been deleted.","A versão foi excluída."
"The version has been saved.","A versão foi salva."
"There are unsaved node data. Are you sure you want to proceed?","Existem dados de nó não guardados. Tem certeza de que deseja prosseguir?"
"There has been an error copying hierarchy.","Ocorreu um erro ao copiar a hierarquia."
"There has been an error deleting hierarchy.","Ocorreu um erro ao excluir a hierarquia."
"There has been an error saving hierarchy.","Ocorreu um erro ao salvar a hierarquia."
"This Page Belongs To","Esta Página Pertence A"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Esta página não pode ser adicionada, porque um nó ou página com a mesma Chave URL já existe nesta parte da árvore."
"Title","Título"
"Total of %d record(s) have been deleted","Total de %d registro(s) foram eliminados"
"Total of %d record(s) have been deleted.","No total %d registro(s) foi(foram) excluído(s)."
"Tree Viewed","Árvore Visualizada"
"URL Key","Chave URL"
"Unable to find a revision to delete.","Incapaz de encontrar uma revisão para apagar."
"Unable to find a version to delete.","Incapaz de encontrar uma versão para apagar."
"Under Version Control","Em Controle de Versão"
"Unordered","Não ordenada"
"Update","Atualizar"
"Upper Alpha (A, B, C, ...)","Alfa Superior (A, B, C,...)"
"Upper Roman (I, II, III, ...)","Romana Superior (I, II, III,...)"
"Use Parent","Uso Parental"
"Use Parent Node\'s Hierarchy","Usar hierarquia do enredo parente"
"Use default","Use padrão"
"Version ""%s"" could not be removed because it is the last public version for its page.","Versão ""%s"" não pôde ser removida porque esta é a última versão pública de sua página."
"Version ""%s"" could not be removed because its revision has been published.","Versão ""%s"" não pôde ser removida porque a sua revisão foi publicada."
"Version #","Versão #"
"Version Control","Controle de Versão"
"Version Information","Informações da versão"
"Version Label","Marca da versão"
"Version Revisions","Revisões da versão"
"Version:","Versão:"
"Versions","Versões"
"Website Root","Raiz do website"
"Yes","Sim"
"You should specify valid name","Você deve especificar um nome válido"
"[No Owner]","[Nenhum proprietário]"
