"-- Not Selected --","-- Non sélectionné --"
"This rule is assigned to %s automated reminder rule(s). Deleting this rule will automatically unassign it.","Cette règle est assignée à %s règles automatiques de rappel. Effacer cette règle va automatiquement la désaffecter."
"Thread Active","Fil actif"
"Titles and Descriptions Per Store View","Titres et descriptions par vue de boutique"
"To Date","Jusqu'au"
"Total Amount","Montant total"
"Total shopping cart items quantity %s %s:","Quantité totale d'articles dans le panier %s %s :"
"Unknown attribute specified","Attribut spécifié inconnu."
"Unknown operator specified.","Opérateur spécifié inconnu."
"Unknown quote total specified","Total de devis spécifié inconnu"
"Up to %s customers may receive reminder email after this action.","Jusqu'à %s clients peuvent recevoir le courriel de rappel après cette action."
"Valid range: 0-59 (default 0).","Fourchette valide: 0-59 (défaut 0)."
"Virtual Only","Seulement virtuel"
"Website","Site internet"
"Wishlist","Liste de vœux"
"Wishlist %s shared","Liste de souhaits %s partagés"
"Wishlist is not empty and abandoned %s %s days and %s of these conditions match:","La liste de souhaits n'est pas vide et abandonnée depuis %s %s jours et %s de ces conditions sont remplies :"
"Wrong reminder rule requested.","Mauvaise règle de rappel demandée."
"Yes","Oui"
"base cost","coût de base"
"base price","prix de base"
"does not have","n'a pas"
"found","trouvé"
"grand total","total"
"has","a"
"is","est"
"is not","n'est pas"
"not found","non trouvé"
"quantity","quantité"
"row weight","poids de la rangée"
"subtotal","sous-total"
"weight","poids"
