"Number of Cart Line Items","Nombre d'éléments dans la ligne panier"
"Number of Customers","Nombre de clients"
"Number of Orders","Nombre de commandes"
"Number of Orders %s %s while %s of these Conditions match:","Nombre de commandes %s %s tandis que %s de ces conditions sont remplies:"
"Number of Shopping Cart Line Items %s %s:","Nombre d'articles dans la ligne de chariots %s %s:"
"Order Address","Adresse de commande"
"Order Address %s","Adresse de commande %s"
"Order Address %s a %s Address","Adresse de commande %s une %s adresse"
"Order Address Attributes","Attributs de l'adresse de commande"
"Order Status","État de la commande"
"Order Status %s %s:","État de la commande %s %s:"
"Period %s %s Days Up To Date","Période  %s %s de jours actualisée"
"Please save this information in order to specify the conditions for segmentation","Veuillez enregistrer ces informations afin de préciser les conditions pour la segmentation"
"Product %s","Produit %s"
"Product Attributes","Attributs du produit"
"Product History","Historique du produit"
"Product List","Liste de produit"
"Products","Produits"
"Products Quantity","Quantité de produits"
"Purchased Quantity","Quantité achetée"
"Refresh Data","Actualiser les données"
"Refresh Segment Data","Rafraîchir les données du segment"
"Registered Customers","Clients inscrits"
"Reports","Rapports"
"Sales","Ventes"
"Sales Amount","Montant des ventes"
"Save and Continue Edit","Sauvegarder et continuer à changer"
"Segment Customers matching error.","Erreur correspondante du segment clients"
"Segment Information","Information du segment"
"Segment Name","Nom du segment"
"Segments","Segments"
"Set","Rentré"
"Shipping","Envoyé"
"Shopping Cart","Caddy"
"Shopping Cart %s Amount %s %s:","Somme %s %s du panier %s:"
"Shopping Cart Products Qty %s %s:","Qte de produits dans le panier %s %s:"
"Shopping Cart Total","Total du caddy"
"Specified","Précisé"
"State/Province","Région/Département"
"Status","État"
"Store Credit","Avoir de la boutique"
"Subtotal","Sous-total"
"Tax","TVA"
"Telephone","Téléphone"
"The segment has been deleted.","Le segment a été effacé."
"The segment has been saved.","Le segment a été sauvegardé."
"Total","Total"
"Unable to delete the segment.","Ne peut effacer le segment."
"Unable to save the segment.","Ne peut sauvegarder le segment."
"Union","Union"
"Unknown operator specified.","Opérateur spécifié inconnu."
"Unknown quote total specified.","Total de devis spécifié inconnu."
"Up To Date","A jour"
"Use in Customer Segment","Utiliser dans le segment Client"
"View Combined Report","Voir le rapport combiné"
"Viewing combined ""%s"" report from segments: %s","Affichage du rapport ""%s"" combiné des segments : %s"
"Viewing combined ""%s"" report from segments: %s.","Voir rapport combiné ""%s"" des segments : %s. "
"Visitors","Visiteurs"
"Visitors and Registered Customers","Visiteurs et clients enregistrés"
"Website","Site internet"
"Wishlist","Liste de vœux"
"Wrong ""ApplyTo"" type","Type ""appliquer à"" erroné"
"Wrong customer segment requested.","Mauvais segment client demandé."
"ZIP","Code postal"
"does not exist","n'existe pas"
"does not have","n'a pas"
"does not match","ne correspond pas"
"exists","existe"
"has","a"
"is not one of","n'est pas l'un"
"is one of","est l'un"
"matches","correspondances"
"not subscribed","non inscris"
"ordered","commandé"
"subscribed","inscris"
"viewed","vu"
